City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Tevaitoa,PF,81.25,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
311,Kabinda,CD,75.54,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
312,Bowen,AU,78.28,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
315,Itarema,BR,88.97,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
321,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
322,Pirai,BR,88.95,clear sky,-22.6292,-43.8981,Sonhos e Delicias da Terra
326,Port Blair,IN,78.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
327,Koumac,NC,78.17,clear sky,-20.5667,164.2833,Le Monitel
328,Bandarbeyla,SO,78.33,scattered clouds,9.4942,50.8122,JABIR HOTEL
330,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
335,Tsiroanomandidy,MG,81.01,overcast clouds,-18.7667,46.0333,Hotel Ravinala
336,El Tocuyo,VE,80.46,broken clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
338,Poum,NC,79.54,clear sky,-20.2333,164.0167,Gîte kajeon
343,Teseney,ER,86.34,scattered clouds,15.11,36.6575,Sabrin Hotel
344,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
346,Kapoeta,SS,88.2,overcast clouds,4.7717,33.5903,Eastgate Hotel
348,Pedro Carbo,EC,81.21,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
352,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
353,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Sampit,ID,76.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
359,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
362,Cayenne,GF,78.1,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
363,Cidreira,BR,77.02,clear sky,-30.1811,-50.2056,Hotel Castelo
370,Jizan,SA,83.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
372,Kirakira,SB,80.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
376,Port Keats,AU,83.44,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
381,Kudahuvadhoo,MV,82.6,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
382,Honiara,SB,78.46,overcast clouds,-9.4333,159.95,Heritage Park Hotel
383,Chabahar,IR,75.7,clear sky,25.2919,60.643,هتل گدروشیا
388,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
394,Amuntai,ID,76.24,overcast clouds,-2.4177,115.2494,Hotel Balqis
398,Mayuge,UG,76.28,overcast clouds,0.4597,33.4803,Kagolo Bar and Lodge
399,Pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
402,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
404,Kieta,PG,79.95,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
406,Mecca,SA,76.37,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
407,Sao Felix Do Xingu,BR,87.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
411,Gulu,UG,80.62,overcast clouds,2.7746,32.299,ACHOLI INN
417,America Dourada,BR,83.41,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
418,Bonoua,CI,89.22,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
422,Rocha,UY,78.44,clear sky,-34.4833,-54.3333,Hotel Arrarte
426,Cozumel,MX,75.27,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
430,Mubi,NG,89.58,clear sky,10.2676,13.2644,Hotel
